-log10pvalue	-log10qvalue	rank	basepairs
392.06	382.64	1	1
391.16	382.04	2	1
390.95	382.01	3	3
389.84	381.20	6	2
388.95	380.44	8	1
388.73	380.27	9	2
387.62	379.24	11	4
386.52	378.28	15	2
385.19	377.00	17	2
384.08	375.94	19	3
383.21	375.14	22	3
382.98	374.96	25	1
382.10	374.10	26	4
381.87	373.93	30	1
381.65	373.72	31	2
380.77	372.87	33	1
379.67	371.78	34	1
378.80	370.93	35	2
378.33	370.48	37	2
378.11	370.28	39	2
377.70	369.90	41	1
377.23	369.44	42	3
377.00	369.24	45	2
376.60	368.86	47	1
376.13	368.39	48	2
375.90	368.18	50	1
375.50	367.79	51	2
375.02	367.33	53	2
374.41	366.73	55	2
373.92	366.26	57	1
373.31	365.66	58	3
372.22	364.59	61	5
371.12	363.52	66	1
370.03	362.44	67	2
368.93	361.35	69	2
367.84	360.27	71	2
366.75	359.20	73	1
366.49	358.94	74	1
365.74	358.20	75	1
365.66	358.12	76	2
364.30	356.78	78	1
363.79	356.27	79	2
363.54	356.03	81	1
363.48	355.98	82	2
363.21	355.72	84	2
362.44	354.96	86	2
361.31	353.84	88	1
361.03	353.56	89	1
360.25	352.79	90	1
360.22	352.76	91	1
359.15	351.70	92	1
358.86	351.41	93	1
358.05	350.61	94	1
356.97	349.53	95	2
356.68	349.25	97	1
355.88	348.45	98	1
355.60	348.18	99	1
354.80	347.38	100	1
353.72	346.31	101	1
350.98	343.57	102	1
350.48	343.08	103	1
350.42	343.02	104	1
350.15	342.75	105	1
349.06	341.67	106	3
348.33	340.95	109	1
347.97	340.59	110	1
346.88	339.51	111	1
345.79	338.42	112	2
344.71	337.35	114	2
343.90	336.55	116	1
343.62	336.27	117	1
339.74	332.39	118	1
339.58	332.24	119	1
339.28	331.94	120	1
338.67	331.34	121	2
337.60	330.27	123	1
337.19	329.87	124	1
336.82	329.50	125	1
336.54	329.22	126	2
336.34	329.03	128	1
335.47	328.16	129	5
335.08	327.79	134	1
334.40	327.11	135	6
334.19	326.92	141	1
333.88	326.62	142	1
333.34	326.08	143	6
332.27	325.03	149	4
331.21	323.98	153	6
330.97	323.75	159	1
330.65	323.44	160	1
330.54	323.33	161	2
330.15	322.95	163	8
329.89	322.71	171	3
329.58	322.40	174	1
329.09	321.92	175	5
328.82	321.66	180	1
328.67	321.51	181	1
328.51	321.35	182	1
328.41	321.26	183	1
328.08	320.93	184	2
328.03	320.88	186	5
327.75	320.61	191	2
327.43	320.30	193	1
