-log10pvalue	-log10qvalue	rank	basepairs
3457.29	3447.87	1	1
3450.36	3441.24	2	1
3448.85	3439.91	3	1
3445.78	3436.97	4	1
3442.76	3434.04	5	1
3442.54	3433.90	6	1
3434.56	3425.99	7	1
3434.37	3425.86	8	1
3431.04	3422.58	9	1
3422.59	3414.17	10	1
3419.75	3411.37	11	1
3413.20	3404.86	12	1
3407.55	3399.25	13	1
3397.50	3389.23	14	1
3396.33	3388.09	15	1
3395.63	3387.42	16	1
3394.46	3386.27	17	1
3393.47	3385.31	18	1
3392.49	3384.35	19	1
3391.38	3383.26	20	1
3389.62	3381.53	21	1
3389.36	3381.29	22	1
3387.70	3379.64	23	1
3386.59	3378.55	24	1
3385.62	3377.60	25	1
3385.59	3377.59	26	1
3384.24	3376.25	27	1
3382.99	3375.02	28	1
3380.50	3372.55	29	1
3380.04	3372.10	30	1
3378.71	3370.78	31	1
3377.77	3369.86	32	1
3377.71	3369.81	33	1
3377.63	3369.74	34	1
3377.09	3369.22	35	1
3376.74	3368.88	36	1
3376.61	3368.76	37	1
3375.94	3368.10	38	1
3375.92	3368.09	39	1
3374.87	3367.06	40	1
3374.26	3366.46	41	1
3372.02	3364.23	42	1
3371.85	3364.07	43	1
3366.67	3358.90	44	1
3366.46	3358.70	45	1
3360.84	3353.09	46	1
3359.79	3352.05	47	1
3358.80	3351.06	48	1
3356.63	3348.90	49	1
3356.43	3348.71	50	1
3356.24	3348.53	51	1
3349.36	3341.66	52	1
3349.10	3341.41	53	1
3344.62	3336.94	54	1
3343.65	3335.97	55	1
3341.17	3333.50	56	1
3339.78	3332.12	57	1
3337.82	3330.17	58	1
3336.08	3328.43	59	1
3335.26	3327.62	60	1
3334.50	3326.87	61	1
3333.27	3325.65	62	1
3332.55	3324.93	63	1
3327.06	3319.45	64	1
3327.00	3319.40	65	1
3324.67	3317.07	66	1
3324.44	3316.85	67	1
3317.67	3310.09	68	1
3315.45	3307.87	69	1
3314.59	3307.02	70	1
3311.05	3303.48	71	1
3310.87	3303.31	72	1
3309.54	3301.99	73	1
3306.88	3299.33	74	1
3306.53	3298.99	75	1
3305.89	3298.35	76	1
3305.20	3297.67	77	1
3304.34	3296.82	78	1
3304.04	3296.52	79	1
3303.02	3295.51	80	1
3300.64	3293.13	81	1
3300.61	3293.11	82	1
3298.30	3290.80	83	1
3297.32	3289.83	84	1
3297.04	3289.55	85	1
3296.97	3289.49	86	1
3296.16	3288.68	87	1
3294.34	3286.87	88	1
3294.25	3286.78	89	1
3292.53	3285.07	90	1
3292.07	3284.61	91	1
3292.03	3284.58	92	1
3291.71	3284.26	93	1
3291.60	3284.16	94	1
3288.13	3280.69	95	1
3286.90	3279.47	96	1
3282.74	3275.31	97	1
3282.41	3274.98	98	1
3281.87	3274.45	99	1
3278.74	3271.32	100	1
3278.68	3271.27	101	1
3277.01	3269.60	102	1
3271.41	3264.01	103	1
3271.06	3263.66	104	1
3269.39	3261.99	105	1
3264.67	3257.28	106	1
3261.81	3254.42	107	1
3254.50	3247.12	108	1
3251.74	3244.36	109	1
3243.27	3235.89	110	1
3242.51	3235.14	111	1
3232.01	3224.64	112	1
3226.96	3219.60	113	1
3225.47	3218.11	114	1
3209.84	3202.48	115	1
3203.14	3195.79	116	1
3201.30	3193.95	117	1
3194.68	3187.33	118	1
3186.98	3179.64	119	1
3180.58	3173.24	120	1
3176.88	3169.55	121	1
3168.79	3161.46	122	1
3161.00	3153.67	123	1
3158.67	3151.35	124	1
3154.69	3147.37	125	1
3152.08	3144.76	126	1
3149.13	3141.82	127	1
3146.46	3139.15	128	1
3143.98	3136.67	129	1
3142.48	3135.18	130	1
3140.57	3133.27	131	1
3138.37	3131.07	132	1
3135.96	3128.67	133	1
3134.03	3126.74	134	1
3130.76	3123.47	135	1
3129.57	3122.29	136	1
3127.09	3119.81	137	1
3118.84	3111.56	138	1
3112.65	3105.38	139	1
3110.90	3103.63	140	1
3107.08	3099.81	141	1
3103.32	3096.06	142	1
3098.79	3091.53	143	1
3093.56	3086.30	144	1
3090.93	3083.67	145	1
3084.51	3077.26	146	1
3076.53	3069.28	147	1
3071.17	3063.92	148	1
3067.38	3060.14	149	1
3052.86	3045.62	150	1
3051.25	3044.01	151	1
3045.66	3038.42	152	1
3045.22	3037.99	153	1
3044.10	3036.87	154	1
3035.52	3028.29	155	1
3029.91	3022.69	156	1
3029.46	3022.24	157	1
3025.54	3018.32	158	1
3018.96	3011.74	159	1
3009.93	3002.72	160	1
3005.88	2998.67	161	1
3000.85	2993.64	162	1
2991.72	2984.52	163	1
2991.50	2984.30	164	1
2984.80	2977.60	165	1
2979.38	2972.18	166	1
2973.44	2966.25	167	1
