log2FoldChange,Cell.type,pval_sig,col.sign
4.699229745,Fibroblast,0.027007684,4
4.699229745,Fibroblast,0.027007684,4
3.999956718,Fibroblast,0.027007684,4
3.999956718,Fibroblast,0.027007684,4
2.834815119,Fibroblast,0.010365422,4
2.834815119,Fibroblast,0.010365422,4
2.821604983,Fibroblast,0.010365422,4
2.821604983,Fibroblast,0.010365422,4
2.637800907,Fibroblast,0.027007684,4
2.637800907,Fibroblast,0.027007684,4
2.632150988,Fibroblast,0.03576738,4
2.632150988,Fibroblast,0.03576738,4
2.6103185,Fibroblast,0.010365422,4
2.6103185,Fibroblast,0.010365422,4
2.416079615,Fibroblast,0.010365422,4
2.416079615,Fibroblast,0.010365422,4
2.27882482,Fibroblast,0.010365422,4
2.27882482,Fibroblast,0.010365422,4
2.261880776,Fibroblast,0.021205597,4
2.261880776,Fibroblast,0.021205597,4
2.124410661,Fibroblast,0.010365422,4
2.124410661,Fibroblast,0.010365422,4
2.087237639,Fibroblast,0.010365422,4
2.087237639,Fibroblast,0.010365422,4
2.036867244,Fibroblast,0.03576738,4
2.036867244,Fibroblast,0.03576738,4
1.979697684,Fibroblast,0.03576738,4
1.979697684,Fibroblast,0.03576738,4
1.95404025,Fibroblast,0.010365422,4
1.95404025,Fibroblast,0.010365422,4
1.824499446,Fibroblast,0.03576738,4
1.824499446,Fibroblast,0.03576738,4
1.709551304,Fibroblast,0.027007684,4
1.709551304,Fibroblast,0.027007684,4
1.698166348,Fibroblast,0.010365422,4
1.698166348,Fibroblast,0.010365422,4
1.596903434,Fibroblast,0.045188981,4
1.596903434,Fibroblast,0.045188981,4
1.591285199,Fibroblast,0.021205597,4
1.591285199,Fibroblast,0.021205597,4
1.567182373,Fibroblast,0.045188981,4
1.567182373,Fibroblast,0.045188981,4
1.553497409,Fibroblast,0.010365422,4
1.553497409,Fibroblast,0.010365422,4
1.535418452,Fibroblast,0.027007684,4
1.535418452,Fibroblast,0.027007684,4
1.524436138,Fibroblast,0.03576738,4
1.524436138,Fibroblast,0.03576738,4
1.518722589,Fibroblast,0.03576738,4
1.518722589,Fibroblast,0.03576738,4
1.469090604,Fibroblast,0.010365422,4
1.469090604,Fibroblast,0.010365422,4
1.464792416,Fibroblast,0.021205597,4
1.464792416,Fibroblast,0.021205597,4
1.450707552,Fibroblast,0.010365422,4
1.450707552,Fibroblast,0.010365422,4
1.439108998,Fibroblast,0.010365422,4
1.439108998,Fibroblast,0.010365422,4
1.399421969,Fibroblast,0.045188981,4
1.399421969,Fibroblast,0.045188981,4
1.378056891,Fibroblast,0.010365422,4
1.378056891,Fibroblast,0.010365422,4
1.278972712,Fibroblast,0.021205597,4
1.278972712,Fibroblast,0.021205597,4
1.253336848,Fibroblast,0.03576738,4
1.253336848,Fibroblast,0.03576738,4
1.245531125,Fibroblast,0.045188981,4
1.245531125,Fibroblast,0.045188981,4
1.222987149,Fibroblast,0.045188981,4
1.222987149,Fibroblast,0.045188981,4
1.19897435,Fibroblast,0.03576738,4
