,naNe,fold,log2fold,tstat,pvalue,qvalue,updown,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,3M_neg,29M_neg,maxint,mean1,sd1,mean2,sd2,3M1_1,3M1_2,3M2_1,3M2_2,3M3_1,3M3_2,3M4_1,3M4_2,3M5_1,3M5_2,3M6_1,3M6_2,3M7_1,3M7_2,3M8_1,3M8_2,29M1_1,29M1_2,29M2_1,29M2_2,29M3_1,29M3_2,29M4_1,29M4_2,29M5_1,29M5_2,29M6_1,29M6_2,29M7_1,29M7_2,29M8_1,29M8_2,Mode
1,N245T4_1,1.94537983,0.960051865,11.54942663,5.45E-12,3.40E-09,UP,245.0421142,245.0417992,245.0425611,3.600066667,3.56255,3.8275,32,16,16,30452.395,101691.4909,19378.57231,197828.5754,27075.57285,108762.0912,125431.9803,91409.81076,102735.7955,59652.04303,77580.06712,123907.4528,131209.6891,100276.7891,117706.888,98564.92962,113949.0868,79726.75463,85388.77359,106963.5615,103798.1419,165357.0191,181674.9349,156821.0967,161178.8364,195279.8798,193176.0681,172496.8437,170714.865,214127.9216,202968.4729,213831.4342,219619.6713,235077.9524,227307.355,237127.5079,218497.3473,Neg
2,N177T4_5,2.198117979,1.136268822,9.996180751,2.78E-10,8.68E-08,UP,177.0398964,177.0395696,177.0403113,3.615691667,3.55805,3.841483333,32,16,16,12584.094,27184.83522,6972.304574,59755.47504,11011.45532,31453.88553,35493.3359,26136.47442,24299.45528,10402.70593,24160.32607,39511.32909,31909.21897,29357.24606,33694.3593,17187.09494,24565.94878,23966.27128,26831.97902,28933.51221,27054.22069,53889.5709,65495.25974,45275.44066,59719.02489,58436.26188,48611.52752,39483.96087,54328.06408,52829.74493,58507.39612,57969.30833,76620.49154,78667.83918,72985.74478,68973.71262,64294.2526,Neg
3,N279T5,1.65564505,0.72739341,8.730646402,1.05E-09,2.18E-07,UP,279.0879662,279.0875669,279.088412,5.162966667,5.133716667,5.245416667,31,15,16,3513.661,21085.51942,4673.703183,34910.13586,4274.80441,16592.05932,22832.13236,15103.60805,19377.42377,14639.49024,18722.66967,22709.67021,26989.60365,24039.19524,26828.59362,12445.26524,28504.32073,21725.53825,23371.80663,20483.07626,23003.85748,32530.76243,43734.45151,33056.61739,31444.63568,31504.72786,32213.8614,29408.37434,35126.02448,32976.43438,36817.50178,35023.07781,32818.45805,40920.70135,43499.59973,32860.77618,34626.16936,Neg
4,N365T6,1.920756763,0.941674833,8.572637936,3.35E-09,5.23E-07,UP,365.1335372,365.1330488,365.1343047,6.077441667,6.0352,6.13765,24,11,13,3341.778,15816.0487,3943.191466,30378.7825,5533.809248,22900.82618,19068.17982,16995.04502,20068.00828,11071.91069,11823.6018,10591.59273,18874.29416,16086.69793,13178.2237,14760.05473,18779.08698,18514.84987,12243.54297,9885.683679,18215.18073,29613.79801,22290.18121,36519.23969,27595.21654,24529.65927,21846.13336,25064.81082,29057.95361,29942.98752,31995.31187,35535.84344,28910.26182,40420.10378,38914.45023,31228.03665,32596.53223,Neg
5,N181T5_1,1.579274355,-0.659261821,-8.343700136,8.22E-09,1.03E-06,DOWN,181.0599551,181.0596276,181.0601971,4.833391667,4.791916667,4.8848,32,16,16,27630.307,291329.1863,42833.09262,184470.2825,28101.42285,364038.5895,382933.1449,318843.2049,331687.8188,237971.2943,261197.6423,267359.0144,267915.0604,302720.8176,333437.729,258380.7908,277047.4479,268370.1089,245668.4472,274589.7631,269106.1065,221889.5308,216173.489,200900.409,205380.1907,162458.6767,143210.2981,197466.6631,178310.1805,196196.3812,186306.7032,141680.8734,126435.5873,200889.6309,209495.0802,189243.0288,175487.7967,Neg
6,N143T4_2,10.02586245,-3.325654442,-11.10301314,1.06E-08,1.10E-06,DOWN,143.0583085,143.0581199,143.0584069,3.588483333,3.555316667,3.634666667,17,1,16,22898.756,214765.423,69386.03867,21421.14197,6111.93938,260511.6822,218331.3574,256650.5328,185817.1156,284163.091,182845.5056,252126.0159,328723.1031,219655.595,200833.1483,14617.81917,259903.0355,208128.5434,159261.6098,230208.8288,174469.7842,17316.23106,19048.92983,14310.69311,14522.70131,17462.19413,16029.22749,18031.7347,18239.91416,18763.58059,19128.01621,30343.36578,34369.04921,24783.48984,24544.02447,25899.19523,29945.92438,Neg
7,N180T5_3,1.466569133,-0.55244508,-8.127131635,1.42E-08,1.27E-06,DOWN,180.0590891,180.0589082,180.0594007,4.83315,4.785516667,4.8848,32,16,16,160876.672,1954795.024,256789.7971,1332903.427,166568.353,2307774.058,2459872.546,2199912.206,2224629.566,1589311.797,1730729.193,1854625.802,1857635.533,2097602.331,2224635.957,1836687.217,1870996.446,1754339.251,1741866.51,1758884.215,1767217.754,1528786.355,1532510.68,1451251.257,1387423.322,1131224.069,1087007.897,1385284.584,1303287.236,1412097.031,1410859.041,1118187.356,997822.1994,1466887.401,1489018.563,1346522.346,1278285.499,Neg
8,N179T5_6,1.442466897,-0.528538211,-8.029446337,2.41E-08,1.88E-06,DOWN,179.0728701,179.072721,179.0731759,4.833125,4.785516667,4.8848,32,16,16,39808.762,492323.9101,64358.59027,341306.9034,38958.49348,585184.5115,627072.9771,520318.257,566919.6117,400793.073,438172.5685,457579.9248,471628.3026,530905.3644,558548.5971,463567.8352,476026.5481,443389.2623,443158.5356,437972.7144,455944.4777,375767.151,375300.3348,361500.6962,358495.5663,292774.9778,288874.1088,344957.7315,338944.1902,372078.1223,359909.3447,292562.4119,254152.041,388795.0579,372585.7589,349071.413,335141.5485,Neg
9,N117T5_3,1.501379946,-0.586289118,-8.07509404,2.82E-08,1.96E-06,DOWN,117.0191995,117.0190668,117.0193823,4.8164,4.785516667,4.8848,32,16,16,37624.922,459389.9343,66007.96356,305978.467,37653.6233,565057.6336,580757.7611,507122.6826,540719.0423,370840.8041,405429.3518,428179.3314,434862.582,487978.2227,530414.9769,433433.0229,439861.5213,405028.4694,404093.2549,414322.1649,402138.1266,355604.1378,335071.6652,336431.131,310062.2961,253027.0316,240506.2781,311737.653,304137.8584,328404.7991,317434.8972,262368.763,238727.2543,348004.5662,338097.8278,311324.7304,304714.5833,Neg
10,N177T4_4,2.254394602,1.172740062,7.671117082,4.13E-08,2.49E-06,UP,177.0333928,177.033088,177.0336046,3.566791667,3.480783333,3.755816667,32,16,16,12393.484,43626.98791,15532.64819,98352.44606,23938.07579,15931.86932,40126.63464,27251.13479,15751.34613,36017.84637,33180.86616,49642.15288,52183.89593,45846.49067,58619.48104,44997.32201,76185.76513,48047.068,47359.19785,53681.46017,53209.27553,83930.44205,89153.64065,81842.28353,82058.45713,84522.13855,69885.36089,78033.1005,78220.06242,83252.25853,86105.62006,131475.1277,138465.2481,110612.5279,129581.7062,107512.4208,138988.7419,Neg
