,name,fold,log2fold,tstat,pvalue,qvalue,updown,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,3M_neg,29M_neg,maxint,mean1,sd1,mean2,sd2,3M1_A4_1,3M1_A4_2,3M1_A4_3,3M2_C1_1,3M2_C1_2,3M2_C1_3,3M2_D9_1,3M2_D9_2,3M2_D9_3,3M4_E1_1,3M4_E1_2,3M4_E1_3,3M4_E2_1,3M4_E2_2,3M4_E2_3,29M2_C1_1,29M2_C1_2,29M2_C1_3,29M2_D8_1,29M2_D8_2,29M2_D8_3,29M2_E4_1,29M2_E4_2,29M2_E4_3,29M6_E1_1,29M6_E1_2,29M6_E1_3,29M6_E4_1,29M6_E4_2,29M6_E4_3,29M6_F7_1,29M6_F7_2,29M6_F7_3,29M7_G7_1,29M7_G7_2,29M7_G7_3,29M7_H9_1,29M7_H9_2,29M7_H9_3,Mode
1,M239T5_3,1.810554532,0.85643163,5.900095847,1.20E-06,0.001652894,UP,239.0954397,239.0950669,239.0955503,4.656,4.599966667,4.7181,36,21,15,13324.001,38287.47841,9691.504699,69321.56755,22665.48519,39631.18841,41857.89441,42743.78355,34898.56376,37768.18954,42687.45135,42622.40055,50326.35517,52874.07539,36218.27745,45016.67556,41183.78933,17882.06176,22384.85287,26216.61712,97114.71424,90003.28414,89815.50207,110522.9324,101385.9435,110821.3376,62151.21791,86532.21864,81160.42139,44979.40633,33687.68746,42232.24132,73229.77325,69416.22395,68697.42808,38180.93642,47870.85857,55045.0548,63160.92703,69262.88114,71861.76343,45338.84721,52509.61878,58736.40149,Neg
2,M337T6_1,2.338672534,-1.225689867,-6.066946824,3.01E-06,0.001708507,DOWN,337.0525768,337.0524616,337.0528678,6.113216667,6.088733333,6.157833333,15,14,1,6810.613,55744.65818,17527.31109,23836.02551,13128.05475,40810.47324,41111.78882,46404.80694,65329.80268,9373.721641,76660.57362,51657.6955,57452.45687,56352.37826,55855.69491,56048.40623,57940.8951,69187.85704,70017.71807,81965.60386,26565.83993,26781.68664,31347.09244,17516.96549,19958.39015,19635.69086,44944.03062,13690.50072,12551.0255,40223.69258,40061.53113,44595.50803,13629.16707,18411.14603,19541.44695,12550.41526,14396.09982,16319.68789,4087.588086,46096.44861,8570.289287,33755.69718,39816.1836,7018.48843,Neg
3,M140T5_2,2.267264087,-1.180952443,-5.555595667,3.72E-06,0.001708507,DOWN,140.0117368,140.0115517,140.0117881,4.5186,4.488016667,4.576583333,39,24,15,100392.273,1271127.479,369605.047,560643.7674,417066.1331,845106.7344,1040705.405,928274.2051,1318783.506,1499348.907,1137737.448,1486099.844,1580027.078,1643410.992,1640853.68,1856369.659,1621555.308,867864.4075,790924.4582,809850.5538,370824.0958,372262.4487,255339.1524,763896.9349,815014.8823,818660.1795,113752.0772,110681.6113,120577.6462,1213025.18,1081084.164,1342890.378,1088952.18,818991.0354,1104060.931,54532.98036,50699.56244,56640.64067,252418.554,261257.7472,261488.4239,712572.9129,768069.2483,647757.4499,Neg
4,M115T6,3.537278263,1.822639714,5.621568387,7.92E-06,0.002725543,UP,115.0593456,115.0592834,115.0593825,6.206958333,6.1689,6.244333333,36,21,15,7720.437,17561.17667,5749.971926,62118.76852,38142.97287,12576.97843,17816.1661,21647.16813,12496.03182,17021.61627,20060.10535,19611.27996,24414.18548,31988.05836,10817.80122,14288.6812,16063.1996,10397.16097,13977.70435,20241.51288,100209.2203,122989.384,143412.476,103568.1431,113847.3738,129513.8529,32224.76043,42590.99297,53824.37344,16750.64541,22955.87029,26503.73668,50340.71377,60886.28125,75793.46411,51789.37349,64441.69034,85657.97379,23921.7288,31356.25217,36731.32308,26885.76479,32662.42724,41992.62232,Neg
5,M135T8,3.084509719,1.625041192,4.585423565,5.13E-05,0.012059396,UP,135.0311448,135.0310855,135.0311828,8.354166667,8.234966667,9.01415,36,21,14,14825.684,42275.35841,42676.83179,130398.7539,77136.26483,22178.02302,9476.960221,11017.06,100821.2344,125538.0518,136310.8319,28676.90321,48058.47015,43023.65309,12237.07289,13251.45276,17216.96273,18964.773,21214.36899,26144.55798,237840.5715,267165.0894,299406.2501,22094.47271,23382.76551,26145.50991,158069.1913,184344.3962,197964.8627,49885.29748,61885.85316,70539.73588,85322.21298,100593.0045,104740.6668,169799.5105,196938.7979,214547.1518,106867.0842,118736.7526,137988.8456,79590.88038,108859.8077,106861.3826,Neg
6,M313T4_1,1.756121358,-0.812392547,-4.572929795,5.26E-05,0.012059396,DOWN,313.0430576,313.0427793,313.0461459,4.251083333,4.194066667,4.435566667,32,16,15,2177.097,21007.04148,4857.986229,11962.18096,7492.087479,17737.419,15760.20578,24703.92413,28738.7596,18393.96997,24249.78351,21587.88501,21719.86282,16202.19272,16284.24847,15088.41645,15694.76116,25525.04461,28505.87352,24913.27551,5485.071446,9652.746053,12987.4172,16845.95815,26407.71796,23657.77947,21585.75247,21265.63462,22435.10716,12204.4657,8962.175196,9522.290685,22437.28579,15236.84061,5372.219694,2282.35158,2328.338785,2579.847059,7606.102464,8514.855239,11102.27206,6190.574294,6457.696566,5971.842906,Neg
7,M97T5_5,3.633955013,-1.86154056,-4.811927325,7.57E-05,0.014888175,DOWN,96.99548449,96.99543315,96.99557033,4.5152,4.468566667,4.99905,18,15,1,274982.063,1936420.697,984951.7159,532868.6486,699765.6473,672923.5296,873495.9386,869765.0413,2883043.721,5046.119332,3463657.903,2035087.883,2156388.42,2260540.903,1625520.834,1799636.663,1875476.824,2735289.094,2899554.472,2890883.103,27100.1743,20282.11683,14189.42353,9440.116696,9526.218653,11396.83712,4702.80819,5535.314228,5720.169548,1635727.475,1700295.287,1624289.844,6569.960095,9170.654532,7856.668186,5787.201894,6343.882089,7467.751164,1325872.569,1368251.924,1396814.238,1164962.357,1214410.648,1207133.925,Neg
8,M115T4_2,2.064582595,1.045850136,4.460295859,0.000132097,0.01739188,UP,115.0125262,115.0123493,115.0207552,4.403816667,4.1641,4.613583333,86,24,15,8394.616,27590.18339,7135.867597,56962.21241,30972.40603,33489.59013,27884.95643,15329.9518,27085.20318,12640.43055,42703.40036,25374.97784,31215.68686,25802.35511,28070.44451,25086.43509,31696.06135,25268.15788,31756.48308,30448.61661,58126.62575,76944.78441,126513.789,13330.16876,17564.92551,16538.97646,33330.7875,48745.57828,28990.26044,37833.61673,26806.68731,34686.41231,39057.96431,86447.20657,70157.13302,63778.61459,50313.07482,82960.5054,79876.06928,16930.53835,85597.0328,95343.86955,89451.65361,87766.82304,Neg
9,M133T4_1,1.826823853,-0.869337533,-4.404345831,0.000142394,0.01739188,DOWN,132.8677812,132.8677076,132.8678424,4.377366667,3.86105,4.655,85,24,15,27244.916,237636.073,76629.30746,130081.547,70120.60358,426767.1128,352037.2513,262694.7335,257802.1966,218303.4548,255921.8544,174202.511,152800.168,139809.4829,283415.0165,262986.5188,213252.5663,195975.6205,189573.617,178998.9904,61722.64068,62173.28676,43319.38526,97554.53344,97164.28013,92096.46143,159029.5049,120106.0296,118709.6025,192171.5924,178301.1911,123073.2146,102220.0794,106517.081,86435.47399,90228.11826,76220.82402,84700.44786,208107.0758,145889.7552,121755.6474,360134.2413,257492.6499,136834.0118,Neg
10,M168T4_7,1.99903926,-0.999306806,-4.475582117,0.000143349,0.01739188,DOWN,168.2203107,168.2200965,168.220548,4.469108333,4.397383333,4.564433333,26,13,13,1057.247,9132.398418,3410.306614,4459.567393,2748.413734,8346.344194,8459.822657,11404.21813,4160.789555,2730.343498,3817.996987,8573.040189,11840.38223,12650.99224,11587.33795,12190.54463,13992.5423,7987.107695,8666.472208,10578.04181,2147.9184,7610.513477,5762.40253,2961.951206,5309.777413,2184.041055,0,736.5923359,231.6428098,7083.837963,8981.749423,8742.492162,5728.937447,4508.737736,6321.44873,3420.278986,2051.105947,3901.657951,1735.260928,3677.30193,3794.980709,3592.947148,8884.85035,7659.190788,Neg
11,M135T4_1,1.903682592,-0.928792953,-4.695222397,0.000144331,0.01739188,DOWN,134.8649717,134.8648771,134.8651365,4.387325,3.8914,4.6618,74,24,15,17734.266,143724.136,51366.45925,75497.95147,29085.46638,259073.6279,248263.499,150762.2658,141622.9862,141049.1047,131330.4115,104067.3959,92750.81869,76356.83611,177968.3364,151040.2024,134085.026,120834.0152,120051.1952,106606.3182,54789.94807,73812.0377,55262.19698,60266.46901,60185.95447,56541.61371,73709.11973,74027.88002,68071.35191,103221.423,99166.42066,74048.84104,52613.86712,55812.13234,46337.0008,52547.76024,30504.82071,53886.741,130431.0148,78785.43915,83588.9264,144031.7025,96672.84572,133635.3282,Neg
12,M169T4_3,1.823549279,0.866749187,4.195385548,0.000164553,0.01739188,UP,168.9904246,168.9902787,168.9906184,4.403816667,4.25455,4.481816667,41,24,15,6938.618,33967.18931,15142.13693,61940.84357,26460.32351,12961.42379,21659.17397,25584.62127,28085.99939,18242.1564,24320.99161,43953.0028,44689.14376,43068.19831,32058.15338,17077.42842,28468.23752,58728.1925,59284.12448,51326.99211,88251.8729,50523.97994,47056.1667,18439.22424,15344.39546,19447.71016,87161.99631,91479.10825,89995.59106,39353.44623,37625.76755,39527.05626,58984.39392,49533.44702,47888.50212,101956.9753,84328.92354,92566.62051,73599.68255,90488.64261,90844.38166,54946.20492,54583.47825,62652.67834,Neg
13,M135T10,2.836246332,1.503982838,4.215513367,0.000174626,0.01739188,UP,135.031149,135.0311093,135.0311978,9.704641667,9.074516667,9.7369,34,21,11,11290.558,31017.72185,25189.09406,87973.89984,58017.27458,20434.28694,20145.31178,23324.85933,63168.75785,73890.79287,91561.21748,15595.5822,22514.41219,43687.82433,19115.50619,10290.98639,10761.13696,18932.70374,14911.79353,16930.656,187474.1599,197132.3205,210869.9152,19430.71356,20993.20134,20517.28364,97916.69665,140141.6729,159335.4974,28097.11244,36483.47277,48009.8862,56816.44945,65528.38325,74765.13892,95450.6748,129505.9563,140302.1029,59156.02897,76930.08721,83680.18915,39994.30824,52303.22115,70539.12348,Neg
14,M168T4_1,1.892575622,-0.920350947,-4.361826441,0.000176839,0.01739188,DOWN,167.865872,167.8655971,167.86626,4.453333333,4.4082,4.523416667,23,11,12,1045.89,10287.24727,3730.876685,5217.927897,3185.273415,8983.680681,8851.025347,13566.21926,2902.10604,3986.73177,6311.486741,11686.75455,14182.62204,13360.28301,11831.32522,12854.87728,15853.15438,8458.321334,10622.52275,10857.59868,5751.378984,9647.470245,4094.174146,2489.163994,3746.393472,5308.249156,0,0,2897.344828,10536.70845,11163.11372,11611.307,5797.308892,6207.75245,3918.997243,3303.992588,2704.671759,4205.442483,3475.540808,3051.644069,3550.844617,6416.343505,7373.825236,7978.601891,Neg
15,M171T4_2,2.189708389,1.130738754,4.251374792,0.000189587,0.017402609,UP,171.0063421,171.0061153,171.0064148,4.35335,4.273483333,4.459466667,40,24,15,88846.703,315911.4678,130867.0286,691753.991,400210.5761,157007.9918,178573.07,196292.3187,485298.8779,492078.799,541152.7326,279526.7029,277164.242,275112.1462,205417.8975,199385.2237,209765.1751,421553.8259,395840.8433,424502.1697,1151970.45,746948.0028,1260047.1,86655.73484,97080.54018,98820.71658,1337504.184,1342104.372,1423413.143,271019.2166,296306.6201,308691.5237,556698.9268,550633.272,578410.7293,761214.77,758630.5936,799222.4798,774667.8825,901635.6469,864603.2494,506441.456,568730.9851,560644.1902,Neg
