,name,fold,log2fold,tstat,pvalue,qvalue,updown,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,3M_pos,29M_pos,maxint,mean1,sd1,mean2,sd2,3M1_2,3M1_3,3M2_2,3M2_3,3M3_2,3M3_3,3M4_2,3M4_3,3M5_2,3M5_3,3M6_2,3M6_3,3M7_2,3M7_3,3M8_2,3M8_3,29M1_2,29M1_3,29M2_2,29M2_3,29M3_2,29M3_3,29M4_2,29M4_3,29M5_2,29M5_3,29M6_2,29M6_3,29M7_2,29M7_3,29M8_2,29M8_3,Mode
1,M176T5_3,2.315851332,-1.211542641,-12.74448048,0,0,DOWN,176.1390807,176.1387969,176.139745,5.042275,4.500416667,5.661466667,54,23,24,164494.094,1913114.608,297988.0944,826095.6056,286253.6556,2172544.336,2291243.12,1676526.673,1787217.422,2377936.723,2342754.949,1987399.964,1837493.539,1800476.347,1896843.254,1390004.277,1415048.363,1769038.191,2138487.428,1831905.785,1991906.127,1197435.106,1321659.087,1206000.413,1370223.092,664813.6132,756491.4841,871427.5509,903347.1259,877944.681,897204.5179,387279.4809,484261.6046,591078.434,571412.4443,758162.3179,759590.1575,Pos
2,M608T4,1.528541941,0.612156138,14.02775184,0,0,UP,608.0885805,608.0800127,608.0912681,3.753158333,3.690666667,4.137533333,56,23,24,140776.469,1044948.577,147793.7259,1597247.727,120045.0883,1052373.729,990255.8729,859724.8109,893803.242,760382.502,838437.3159,1197335.29,1142247.313,1117306.612,1079428.662,1220889.484,1207709.705,1141402.031,1214102.604,1017099.554,1040784.324,1478107.121,1605852.131,1556005.155,1694412.646,1446841.574,1542000.265,1583644.065,1543726.331,1661220.574,1751422.492,1556388.611,1625674.889,1636013.838,1808049.242,1766038.475,1758775.776,Pos
3,M137T11_1,1.599845208,0.677932324,11.59094402,4.44E-15,3.02E-12,UP,137.0272653,137.0271121,137.027438,11.41345,11.35306667,11.46143333,44,20,24,2969.832,63140.64482,11300.34441,101015.258,11090.70671,77596.64806,78381.53652,50151.44581,48427.01103,48028.80038,50711.91861,74208.05803,69730.35212,71662.19564,67424.94088,69138.47403,65127.83604,63742.0908,61807.9938,72601.22531,64621.61464,102242.9212,91187.52108,101716.3275,97845.93938,80759.15175,77800.73764,99919.30324,87568.29775,117817.4313,108854.9959,120544.7028,107924.7437,113330.3227,105051.0388,108504.5628,98011.81752,Pos
4,M198T5_2,1.670627945,-0.740390476,-12.31772026,9.77E-15,4.90E-12,DOWN,198.0770465,198.0768205,198.0773149,4.843566667,4.785066667,4.8826,47,23,24,3287.673,43067.84794,5721.408682,25779.43705,3622.211961,52306.01421,49626.84707,48177.83028,45372.78753,37215.5649,36794.03686,43084.98949,38039.47852,49549.702,47909.54419,39548.13138,41895.16794,38715.5193,39754.70656,37334.14666,37420.32853,31329.95546,32787.15848,27982.40196,28911.40365,24739.59933,23734.10105,24767.579,26036.14404,27783.39855,28807.77145,22178.29122,21094.34558,22229.94263,19451.62105,22920.14158,22900.7745,Pos
5,M176T5_4,2.878012387,-1.525072802,-11.4377346,1.20E-14,4.90E-12,DOWN,176.1558794,176.1556161,176.15605,5.049116667,5.009166667,5.0818,31,23,8,2511.794,28562.8997,6064.298758,9924.52285,5035.458814,31655.70901,44272.55287,24449.76162,25678.68859,35883.30957,35650.27995,27346.17265,27702.31101,26786.7548,28602.51062,19950.75083,22332.91298,26430.29089,28439.23799,25773.04065,30162.19575,15309.07316,20427.85719,17150.2241,18987.66346,6986.720775,8452.61776,11260.08823,11633.98329,10029.29183,10553.36268,4056.045621,4162.026965,5565.958589,5325.013448,7922.086606,7276.440673,Pos
6,M198T5_5,1.679429216,-0.747970991,-12.4444091,1.51E-14,5.14E-12,DOWN,198.1170867,198.1168678,198.117446,4.836116667,4.785066667,4.8826,47,23,24,3072.451,42962.37583,5806.300436,25581.53414,3411.475289,53834.75551,51135.03563,48998.40666,47038.80246,38117.17647,37708.23426,41028.78958,36694.75198,48508.68461,44543.53646,39472.6896,41385.7662,38475.39891,40956.37073,37302.32367,37569.37083,30998.84061,32102.41206,27055.0447,28298.05756,24596.14555,23976.6376,24902.72611,25132.96841,27211.89997,27053.03255,21610.36221,20867.1033,21172.90044,19742.01153,22296.78832,23497.274,Pos
7,M428T5,2.23894472,1.162818908,12.14677762,8.48E-14,2.47E-11,UP,428.1780211,428.1775167,428.1789274,4.653408333,4.61065,4.68465,28,5,23,3305.431,11527.6113,2525.834873,25809.68446,5149.991016,14998.80857,12715.30874,12854.57878,12132.05829,7072.837759,8193.234441,13395.36702,15677.20135,12714.50199,14229.92035,10272.23386,13539.34482,10724.51617,11510.80943,12141.23277,12142.6014,17322.35014,21681.56086,27023.98467,30615.00191,25590.64591,29217.78559,21179.53895,20807.51677,25379.97493,28434.66869,27131.5581,20014.02609,25157.53169,34299.10657,30509.02317,38166.01382,Pos
8,M186T4_1,1.733444569,0.793641703,10.87542588,1.06E-13,2.63E-11,UP,186.0760336,186.0752426,186.0763585,3.759066667,3.690666667,4.181833333,48,23,24,8191.48,44241.42522,8463.739707,76690.05825,11785.78746,47564.06544,51399.55273,38608.10459,39576.82895,30281.35311,34662.58187,49072.90331,50781.67812,53017.85466,48201.79145,52471.8631,60249.4759,48576.84409,53629.39514,47781.32802,44078.79596,64975.88181,67428.1365,69659.36361,82316.30889,64873.59887,74629.31764,69982.33241,75880.6314,79980.60243,91379.06989,72814.48707,87967.69478,84272.79205,102748.9964,85117.18039,101697.8536,Pos
9,M247T4_1,2.58960383,1.372731404,12.51954482,1.16E-13,2.63E-11,UP,247.0576729,247.0565442,247.0586041,3.9243,3.843116667,4.058883333,49,23,24,11564.584,27705.84612,6721.072631,71747.16524,15807.02436,33628.48904,36107.88942,23328.14359,25378.60232,17739.46741,18964.7405,31926.15457,36844.49772,35802.23741,21737.96543,20785.28081,32100.98658,30871.60287,22970.4487,22474.03609,20086.90826,51521.92187,50587.25381,46291.30843,59055.70767,64950.48416,73337.38299,67018.14716,69733.56127,83578.57938,79775.10298,52803.91037,73111.04471,85968.55744,76316.01003,98260.92269,98221.00222,Pos
10,M204T4,1.614959164,0.691497686,10.22645821,4.22E-13,8.61E-11,UP,204.0865903,204.0859021,204.0869324,3.774366667,3.690666667,4.27905,54,22,24,51660.082,367038.7219,66489.0225,592752.5476,84134.92522,399673.5042,382698.8357,316088.6678,336566.5127,247832.2077,305558.3779,380278.8015,425313.1481,383147.9538,395400.5105,456309.8958,478506.142,391367.0223,480032.2246,374099.9628,391465.3035,495251.4273,546833.5719,541376.1206,614178.1494,508002.5598,569489.4872,524940.9994,585185.8041,655655.6536,668517.2645,575398.6742,648300.8698,685472.1741,768857.3069,659930.0492,738676.3272,Pos
11,M137T11_4,1.626882993,0.702110495,10.24885154,6.46E-13,1.20E-10,UP,137.070842,137.0706638,137.0710495,11.41343333,11.35306667,11.46143333,47,23,24,599480.75,12873138.73,3038754.935,20943090.46,2290083.253,15705835.83,16475620.6,9934095.976,10006044.84,6678762.292,6722835.623,14762836.4,15010074.55,14441607.21,14761070.22,14218212.22,13783642.39,13014328.66,13436921.47,15039918.39,14855952.18,21023001.75,20343146.89,21233469.55,21439147.57,16533636.95,16544922.22,20469771.4,18652092.45,23682913.71,23122986.99,22072176.96,23319586.94,23263891.38,22618144.58,22229538.97,20815268.34,Pos
12,M138T11_2,1.63242945,0.707020643,10.10032432,9.08E-13,1.54E-10,UP,138.0741366,138.073979,138.0743135,11.40086667,11.35333333,11.46143333,47,23,24,45487.215,940730.3224,225966.6773,1535675.883,173176.9767,1158001.078,1214656.023,725186.7402,732753.968,484085.9966,463423.4205,1099876.7,1075865.501,1084547.32,1049809.698,1020984.17,1026356.847,949450.5558,961719.6778,1086533.86,1080350.788,1543387.98,1435220.586,1495137.867,1593824.072,1216425.417,1220163.019,1478538.585,1364695.802,1788722.145,1708689.72,1689012.627,1725436.587,1741888.465,1625724.717,1647813.245,1510043.122,Pos
13,M201T5,1.862131991,0.896955337,10.02411083,1.80E-12,2.82E-10,UP,201.0537698,201.0518464,201.0540652,4.844933333,4.05805,5.084083333,51,23,24,101040.758,411918.6414,96347.10885,767046.8797,142954.7531,399387.08,365826.0181,296924.293,280482.3244,301031.7583,282694.7656,466529.8611,386205.3984,549942.5147,527270.5536,506603.6953,538780.2505,390425.2639,430258.6266,496917.2263,454570.1441,746198.0855,771609.687,702809.4021,729032.4223,619709.2036,605825.7658,652750.0217,631108.4494,777278.4719,771739.2373,738255.049,693549.6092,1129301.98,1071322.47,833858.256,836693.7766,Pos
