,name,fold,log2fold,tstat,pvalue,qvalue,updown,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,3M_pos,29M_pos,maxint,mean1,sd1,mean2,sd2,3M1_A4_1,3M1_A4_2,3M1_A4_3,3M2_C1_1,3M2_C1_2,3M2_C1_3,3M2_D9_1,3M2_D9_2,3M2_D9_3,3M4_E1_1,3M4_E1_2,3M4_E1_3,3M4_E2_1,3M4_E2_2,3M4_E2_3,29M2_C1_1,29M2_C1_2,29M2_C1_3,29M2_D8_1,29M2_D8_2,29M2_D8_3,29M2_E4_1,29M2_E4_2,29M2_E4_3,29M6_E1_1,29M6_E1_2,29M6_E1_3,29M6_E4_1,29M6_E4_2,29M6_E4_3,29M6_F7_1,29M6_F7_2,29M6_F7_3,29M7_G7_1,29M7_G7_2,29M7_G7_3,29M7_H9_1,29M7_H9_2,29M7_H9_3,Mode
1,M757T25,2.236497696,-1.161241272,-6.962629976,6.52E-08,0.000141354,DOWN,756.5531784,756.547606,756.5535221,25.4065,25.3395,25.79933333,41,24,15,275418.719,2033106.584,468859.9028,909058.2062,523242.9116,1958056.146,2256686.959,2594372.761,1262876.497,1848756.425,2040308.651,2074009.41,2037776.125,2226436.242,2518793.388,2518932.635,2764729.557,1291018.307,1651044.414,1452801.238,168688.7781,254270.9622,161297.3232,727079.5963,821253.9928,824404.7578,358466.0035,460011.1836,472271.9639,1865370.388,1988257.903,1801156.76,1169910.385,1345195.375,1342877.507,658765.8965,852268.638,757592.9263,361527.0345,950070.1988,819418.397,1206669.856,1158176.716,1292394.407,Pos
2,M704T25_1,2.356021416,-1.236352653,-6.78888209,3.03E-07,0.000193375,DOWN,703.5101924,703.5093912,703.51201,25.37833333,25.32233333,25.45116667,29,17,12,7869.449,38882.06971,10562.28006,16503.27516,9071.354644,25097.7631,45224.74803,41529.04166,31648.53674,39465.04712,50842.41683,41027.47442,49083.49747,58622.76595,22723.4305,45965.27493,43842.02265,25375.47789,31512.46577,31271.0826,8936.919967,10177.61901,10214.85458,6543.125389,11520.7084,6304.433803,4286.676338,11905.97382,13958.30703,31646.00716,13426.82541,25203.57768,21597.59694,24036.6798,35545.5864,22098.66809,27506.71454,26711.8389,3263.040009,7601.939976,17506.61773,24775.35793,17794.77699,13514.75788,Pos
3,M758T25_1,2.273474283,-1.184898685,-6.56904078,3.05E-07,0.000193375,DOWN,757.5560922,757.5558973,757.5571462,25.4075,25.34783333,25.46666667,39,24,15,116456.188,788481.8871,205056.5456,346818.0366,203010.4236,660691.3197,891670.1022,961342.3059,437666.679,736864.9152,830795.4399,833003.8973,886590.0948,911108.0631,1007739.948,736721.6763,1209835.072,500822.795,654427.2489,567948.7496,82670.60919,78881.22166,73125.6274,271314.7386,331875.4297,311803.7244,106355.9002,158912.3369,172980.9678,668102.1768,839408.173,645998.9195,363036.8362,482721.9745,513164.1876,281390.2441,312688.0345,338682.4726,135281.7953,328474.4419,354512.8842,511182.1001,427052.5719,534015.511,Pos
4,M729T25_1,1.924497272,-0.944481626,-6.23838518,3.57E-07,0.000193375,DOWN,728.5225952,728.5219887,728.5228964,25.3775,25.31883333,25.49033333,40,24,15,24548.854,166311.1988,34378.85585,86417.99668,45224.28273,152842.9691,183728.5631,172686.674,123354.1591,167512.8303,207683.6989,191853.0462,175552.334,181660.0256,182404.6243,184901.6605,220441.864,99721.56935,116975.334,133348.6302,24258.95901,26498.01488,27330.41183,47147.13698,53120.6192,63817.14962,43252.08105,53270.78352,57708.17081,161118.2098,178357.894,156947.9028,139126.7602,113353.2984,121277.4145,90062.93557,94474.4701,115015.643,36083.4979,69869.29318,79762.52165,105133.7484,121661.3303,95383.67372,Pos
5,M732T25_1,1.796727921,-0.845371958,-6.06138886,6.08E-07,0.000263677,DOWN,731.5410536,731.5403841,731.5426676,25.39433333,25.3395,25.43883333,39,24,15,149686.313,1298516.89,194057.1006,722712.0334,395381.5508,1240250.392,1531725.434,1415857.664,820936.8787,1204325.195,1214757.661,1406606.06,1247816.39,1467010.965,1459260.164,1048368.317,1509465.877,1154977.625,1415854.208,1340540.516,222198.9845,293755.0462,267490.9155,320168.2386,376978.886,380180.4797,275619.6736,371354.4909,404999.1313,1295604.898,1409434.598,1353346.344,1159138.855,1092716.535,1246116.123,839281.6849,795177.4329,935191.5251,306719.2015,632412.623,747573.3711,865270.7681,782544.8201,971814.1758,Pos
6,M731T25,1.740623652,-0.799604306,-6.095226052,7.70E-07,0.000278222,DOWN,730.538359,730.5328137,730.5386901,25.389,25.183,25.4355,40,24,15,412103.594,3464984.826,418029.8492,1990657.096,1060458.215,3250711.741,3793270.717,3427093.872,2297902.288,3226115.026,3282844.821,3695345.074,3533891.293,3884134.851,3810096.196,3279214.256,4038980.587,3239307.646,3731761.08,3484102.944,768429.1698,865638.4946,736624.6327,921768.5737,1060787.676,1008974.295,859589.2965,1003841.534,1005725.269,3547226.237,3835810.601,3549209.415,3250626.074,3257449.281,3171335.824,2359970.515,2577223.758,2595888.569,879544.4571,1615442.022,2063207.372,2265783.535,2197352.27,2378321.445,Pos
7,M720T25_1,1.707501621,-0.771886948,-5.827553002,1.08E-06,0.000333673,DOWN,719.5412986,719.5352404,719.5416964,25.494,25.42916667,25.81566667,43,24,14,31073.113,274171.0528,45748.20079,160568.5461,75972.22209,330173.3026,277940.1125,299713.1279,183464.8692,369470.7113,336468.3201,255215.1984,263233.2143,273999.4494,267835.0697,258955.3762,276133.7211,234620.3441,244071.7062,241271.2694,37905.92346,44576.70161,51302.85824,97671.23351,107399.3009,104954.5875,91405.17157,90412.02111,93892.43297,183197.7182,274352.9842,285941.8946,183469.3317,202550.4167,217172.0412,174000.4058,171423.7352,197987.5227,133820.4739,145207.6993,280155.7081,253102.0089,247383.257,184359.6785,Pos
8,M463T26_2,1.741535567,-0.800359937,-5.952129829,4.06E-06,0.001100522,DOWN,463.3786073,463.37716,463.3789352,26.0105,25.92933333,26.059,38,23,15,5033.177,42703.22962,10195.19188,24520.44646,7593.518142,33287.66535,37026.1749,42310.74193,37672.73815,51675.06246,49741.99926,45657.78457,53855.5418,55382.87502,34655.73571,51331.10064,57865.73024,27356.5023,34767.80778,27960.98417,28952.89931,25251.35731,28465.70866,11538.90122,12626.51285,21209.88817,29188.89792,26130.47227,32012.91886,30018.5328,29514.00431,38382.56057,38909.41335,34395.31488,27807.29124,17375.94097,20084.11654,26918.14603,17569.98095,19908.27082,20414.76363,16514.59255,16083.37201,19216.85771,Pos
9,M337T24,2.862408864,-1.51722976,-5.807114339,1.11E-05,0.002622741,DOWN,337.2738198,337.2736276,337.2743128,24.383,24.33916667,24.42483333,36,21,15,32488.766,230922.3604,91079.29983,80674.13543,52852.15724,283168.8468,258777.468,256375.7085,161405.2268,230122.1589,214226.7815,210331.2079,218654.126,204245.7195,390827.9014,371216.7297,346774.8483,109320.2081,105478.1587,102910.3155,14486.62688,11791.02105,11703.85354,68079.04237,79283.22994,69671.87139,57932.20416,45407.88807,48420.45609,148957.2061,159116.4084,138934.6874,68553.9408,66410.74298,61344.96309,48508.34854,52350.05435,45565.80988,35238.11883,87384.20155,93880.04862,159448.8135,194380.4874,169329.2254,Pos
10,M448T26_2,1.638305621,-0.712204513,-5.250660801,1.31E-05,0.002622741,DOWN,448.3872407,448.3866074,448.3877185,26.38833333,26.31033333,26.45533333,21,14,7,2044.705,13529.55717,3111.326662,8258.262067,2949.65042,14271.47251,15936.21251,18708.91708,13303.10458,13603.62731,8205.039046,13793.61586,17063.30482,14053.02104,13930.39134,9228.185937,18150.90388,10768.85204,10571.69894,11355.01061,7575.144141,7742.268933,8540.927177,3783.121236,6492.142712,4552.541502,11363.11894,9071.020635,7142.127078,12673.5022,10823.68252,12684.16073,7586.871188,7250.463327,5253.536614,10114.04414,5171.44166,4143.776815,9518.117186,4470.628956,11371.94934,7138.00989,9431.632433,14304.06024,Pos
