CHR	START	END	DF_3m1	DF_3m2	DF_29m2	DF_29m6	DF_29m7
chr1	3658831	3661636	115.833235529175	145.414106402583	216.664603121924	229.355096578793	159.6089166598
chr1	3661730	3662854	72.8094623326244	90.8838165016145	125.160620250044	101.517829633236	101.118692542234
chr1	3890212	3890610	12.1349103887707	1.91334350529715	4.20707967227037	7.51983923209158	4.95679865403106
chr1	4561325	4562405	118.039582872588	128.194014854909	132.523009676517	90.238070785099	91.2050952341716
chr1	4679108	4679523	14.3412577321836	6.69670226854002	3.15530975420278	12.2197387521488	9.91359730806213
chr1	4774241	4776905	571.443961943931	745.247295313239	553.230976903554	560.228022790823	589.859039829697
chr1	4797215	4799259	323.229885809984	329.095082911109	309.220355911873	468.109992197701	314.261034665569
chr1	4846514	4850045	579.166177645876	687.846990154324	544.816817559013	640.126314631796	602.746716330177
chr1	5008242	5011217	275.793417926607	221.947846614469	296.599116895061	244.394775042976	284.520242741383
chr1	5072651	5075189	442.372642354278	527.126135709364	429.122126571578	500.06930893409	493.697145941494
chr1	6202244	6207373	1099.86415069131	1214.97312586369	1120.13496274199	1138.31566375786	1159.89088504327
chr1	6267227	6268113	13.2380840604772	0.956671752648574	22.0871682794195	12.2197387521488	32.714871116605
chr1	6272513	6272859	6.61904203023858	0.956671752648574	12.6212390168111	6.57985932808013	7.9308778464497
chr1	6283805	6284386	5.51586835853215	0.956671752648574	3.15530975420278	21.6195377922633	13.879036231287
chr1	6298987	6300001	1.10317367170643	4.78335876324287	25.2424780336222	14.0996985601717	29.7407919241864
chr1	6348767	6350787	80.5316780345694	122.453984339017	126.212390168111	117.497488001431	131.850844197226
chr1	6372392	6373660	177.610961144735	206.641098572092	197.732744596708	146.636865025786	148.703959620932
chr1	6396612	6397011	1.10317367170643	0.956671752648574	8.41415934454075	27.259417216332	2.97407919241864
chr1	6431110	6431926	8.82538937365144	4.78335876324287	15.7765487710139	32.8992966404007	7.9308778464497
chr1	7055133	7055719	19.8571260907157	0.956671752648574	5.25884959033797	5.63987942406869	12.8876765004808
chr1	7077880	7082180	856.06276924419	964.325126669762	724.669473548572	752.923903113169	817.871777915126
chr1	7095051	7095620	1.10317367170643	0.956671752648574	13.6730089348787	24.4394775042976	11.8963167696746
chr1	7129545	7129866	11.0317367170643	0.956671752648574	2.10353983613519	8.45981913610303	4.95679865403106
chr1	7196129	7197124	49.6428152267893	66.9670226854002	69.4168145924612	61.0986937607441	51.5507060019231
chr1	7386830	7389086	485.396415550829	520.429433440824	362.86062173332	354.372423812316	414.388367476997
chr1	9227141	9227646	8.82538937365144	6.69670226854002	9.46592926260834	14.0996985601717	15.8617556928994
chr1	9534693	9539910	1006.09438859626	1095.38915678262	956.058855523443	912.720486795115	904.120074495266
chr1	9619784	9621294	46.3332942116701	36.3535266006458	69.4168145924612	26.3194373123205	38.6630295014423
chr1	9626805	9627374	8.82538937365144	0.956671752648574	11.5694690987435	9.39979904011448	17.8444751545118
chr1	9688490	9691717	450.094858056223	485.032578592827	439.639825752254	548.948263942685	463.956354017308
chr1	9732307	9739148	1138.47522920104	1222.62649988488	1032.83805954238	1092.2566484613	1079.59074684797
chr1	9763035	9763738	36.4047311663122	17.2200915476743	23.1389381974871	19.7395779842404	23.7926335393491
chr1	9787223	9790567	347.499706587525	430.502288691858	340.7734534539	388.211700356728	340.036387666531
chr1	9790670	9791010	9.92856304535787	2.87001525794572	5.25884959033797	6.57985932808013	0.991359730806213
chr1	9795839	9796295	8.82538937365144	0.956671752648574	8.41415934454075	13.1597186561603	12.8876765004808
chr1	9796922	9797398	9.92856304535787	5.74003051589144	8.41415934454075	6.57985932808013	12.8876765004808
chr1	9813289	9813846	7.72221570194501	10.5233892791343	22.0871682794195	12.2197387521488	3.96543892322485
chr1	9837840	9839165	146.722098336955	167.4175567135	169.334956808883	122.197387521488	107.066850927071
chr1	9898556	9898939	6.61904203023858	9.56671752648574	7.36238942647315	3.75991961604579	3.96543892322485
chr1	9931963	9934889	646.459771619968	722.287173249673	570.059295592636	589.367399815178	676.107336409837
chr1	9957102	9958748	145.618924665249	155.937495681717	147.247788529463	139.117025793694	152.669398544157
chr1	9998774	9999583	22.0634734341286	19.1334350529715	22.0871682794195	29.1393770243549	29.7407919241864
chr1	10026300	10031288	1265.34020144728	1366.12726278216	1192.70708708865	1272.7327900315	1232.26014539212
chr1	10221039	10224248	578.063003974169	598.876517158007	620.54425165988	767.023601673341	592.833119022115
chr1	10709019	10710167	24.2698207775415	20.09010680562	43.1225666407713	26.3194373123205	30.7321516549926
chr1	10983083	10985130	337.571143542168	414.238868896832	354.446462388779	264.134353027217	271.632566240902
chr1	11319267	11320156	38.611078509725	24.8734655688629	27.3460178697574	26.3194373123205	40.6457489630547
chr1	11403605	11404966	125.761798574533	127.23734310226	130.419469840382	97.7579100171905	91.2050952341716
chr1	11649649	11650003	3.30952101511929	2.87001525794572	10.5176991806759	1.87995980802289	6.93951811564349
chr1	11905165	11905546	4.41269468682572	0.956671752648574	6.31061950840556	6.57985932808013	8.92223757725592
chr1	12500414	12500812	5.51586835853215	0.956671752648574	7.36238942647315	11.2797588481374	6.93951811564349
chr1	12561868	12562384	19.8571260907157	18.1767633003229	17.8800886071491	8.45981913610303	18.835834885318
chr1	12634608	12634926	27.5793417926607	20.09010680562	3.15530975420278	2.81993971203434	0.991359730806213
chr1	12681697	12685553	511.872583671783	603.65987592125	541.661507804811	521.688846726353	598.781277406953
chr1	12707853	12711077	259.245812851011	195.161037540309	261.890709598831	346.852584580224	307.321516549926
chr1	12711242	12712158	5.51586835853215	0.956671752648574	22.0871682794195	39.4791559684808	28.7494321933802
chr1	12734188	12735165	24.2698207775415	20.09010680562	45.2261064769065	36.6592162564465	38.6630295014423
chr1	12754003	12755215	26.4761681209543	34.4401830953487	49.4331861491769	46.0590152965609	36.6803100398299
chr1	12766636	12767266	9.92856304535787	2.87001525794572	6.31061950840556	10.3397789441259	24.7839932701553
chr1	12776354	12776949	5.51586835853215	7.65337402118859	25.2424780336222	5.63987942406869	9.91359730806213
chr1	12854974	12855382	5.51586835853215	5.74003051589144	22.0871682794195	10.3397789441259	6.93951811564349
chr1	12980741	12983200	236.079165745176	248.734655688629	240.855311237479	268.834252547274	269.64984677929
chr1	13042259	13042633	1.10317367170643	1.91334350529715	9.46592926260834	15.0396784641832	4.95679865403106
chr1	13093426	13094374	31.9920364794865	19.1334350529715	24.1907081155547	16.9196382722061	40.6457489630547
chr1	13283277	13284082	18.7539524190093	13.39340453708	25.2424780336222	41.3591157765037	42.6284684246672
chr1	13356738	13357083	4.41269468682572	0.956671752648574	1.05176991806759	16.9196382722061	7.9308778464497
chr1	13361048	13365133	828.483427451529	747.160638818536	756.2225710906	966.299341323768	716.753085372892
chr1	13415984	13417409	124.658624902827	134.890717123449	104.125221888692	133.477146369626	136.807642851257
chr1	13484685	13485313	8.82538937365144	17.2200915476743	16.8283186890815	32.8992966404007	23.7926335393491
chr1	13521845	13522408	6.61904203023858	3.82668701059429	7.36238942647315	11.2797588481374	11.8963167696746
chr1	13576677	13580670	553.793183196628	569.219692825901	431.225666407713	674.905571080219	549.213290866642
chr1	13648134	13651192	527.317015075673	650.53679180103	541.661507804811	522.628826630365	552.187370059061
chr1	13779181	13779638	1.10317367170643	0.956671752648574	7.36238942647315	10.3397789441259	8.92223757725592
chr1	14297351	14298020	6.61904203023858	0.956671752648574	7.36238942647315	12.2197387521488	27.758072462574
chr1	14298411	14300702	148.928445680368	105.233892791343	130.419469840382	165.436463106015	228.012738085429
chr1	14347793	14348419	18.7539524190093	3.82668701059429	2.10353983613519	21.6195377922633	38.6630295014423
chr1	14457280	14457712	4.41269468682572	0.956671752648574	8.41415934454075	12.2197387521488	3.96543892322485
chr1	14496417	14497254	26.4761681209543	14.3500762897286	32.6048674600954	39.4791559684808	35.6889503090237
chr1	14745211	14746096	27.5793417926607	20.09010680562	50.4849560672445	34.7792564484236	36.6803100398299
chr1	15276607	15277375	16.5476050755964	3.82668701059429	11.5694690987435	31.9593167363892	18.835834885318
chr1	15790541	15790892	6.61904203023858	2.87001525794572	2.10353983613519	9.39979904011448	0.991359730806213
chr1	15795037	15797547	547.174141166389	654.363478811624	465.934073703944	414.531137669048	463.956354017308
chr1	15873397	15874180	14.3412577321836	16.2634197950258	18.9318585252167	15.0396784641832	13.879036231287
chr1	15882212	15883348	163.269703412552	115.757282070477	144.09247877526	135.357106177648	121.937246889164
chr1	16082830	16083773	52.9523362419086	47.8335876324287	70.4685845105288	62.978653568767	75.3433395412722
chr1	16092634	16098934	1275.26876449263	1506.7580104215	1344.16195529038	1339.47136321631	1387.9036231287
chr1	16508302	16510432	272.483896911488	275.521464762789	238.751771401344	320.533147267904	230.986817277848
chr1	16596566	16597554	13.2380840604772	4.78335876324287	27.3460178697574	24.4394775042976	11.8963167696746
chr1	16606224	16610227	682.86450278628	670.62689860665	685.753986580071	761.383722249273	776.234669221265
chr1	16644777	16648005	591.301088034646	715.590470981133	637.372570348962	590.307379719189	657.271501524519
chr1	16654828	16657244	528.42018874738	569.219692825901	428.070356653511	444.610494597415	450.077317786021
chr1	16677420	16680305	519.594799373728	623.74998272687	496.435401327904	536.728525190537	530.377455981324
chr1	17086507	17088358	276.896591598314	294.654899815761	298.702656731197	251.914614275068	256.762170278809
chr1	17135316	17135920	31.9920364794865	22.0034503109172	32.6048674600954	17.8596181762175	26.7667127317677
chr1	17590294	17590682	2.20634734341286	0.956671752648574	5.25884959033797	12.2197387521488	7.9308778464497
chr1	17591017	17597838	514.078931015196	647.666776543084	600.560623216596	690.885229448414	610.677594176627
chr1	17717086	17718279	90.4602410799272	81.3170989751288	86.2451332815427	63.9186334727784	37.6716697706361
chr1	17718464	17719010	16.5476050755964	14.3500762897286	8.41415934454075	0.939979904011447	4.95679865403106
chr1	18047926	18049048	54.0555099136151	46.8769158797801	61.0026552479204	40.4191358724922	34.6975905782175
chr1	19195760	19196521	11.0317367170643	16.2634197950258	19.9836284432843	26.3194373123205	32.714871116605
chr1	20809094	20810987	306.682280734387	303.264945589598	267.149559189169	285.75389081948	263.701688394453
chr1	20880043	20881985	397.142521814315	495.555967871961	489.073011901431	443.670514693403	397.535252053291
